#,Player,Name,Pos
9,Jack,Eichel,C
53,Jeff,Skinner,L
23,Sam,Reinhart,C
55,Rasmus,Ristolainen,D
26,Rasmus,Dahlin,D
29,Jason,Pominville,R
21,Kyle,Okposo,R
43,Conor,Sheary,L
37,Casey,Mittelstadt,C
19,Jake,McCabe,D
71,Evan,Rodrigues,L
28,Zemgus,Girgensons,C
4,Zach,Bogosian,D
72,Tage,Thompson,C
82,Nathan,Beaulieu,D
17,Vladimir,Sobotka,L
8,Casey,Nelson,D
6,Marco,Scandella,D
10,Patrik,Berglund,C
22,Johan,Larsson,C
24,Lawrence,Pilut,D
81,Remi,Elie,L
35,Linus,Ullmark,G
48,Matt,Hunwick,D
45,Brendan,Guhle,D
5,Matt,Tennyson,D
40,Carter,Hutton,G
